
#还有效的源,#genre#
BRTV卡酷少儿HD,http://111.194.150.28:8888/rtp/239.3.1.189:8000 -- 0.29 MB/s
BRTV卡酷少儿HD,http://111.196.130.76:8012/rtp/239.3.1.189:8000 -- 0.13 MB/s
BRTV卡酷少儿HD,http://111.196.189.12:5555/rtp/239.3.1.189:8000 -- 0.07 MB/s
BRTV卡酷少儿HD,http://111.199.232.176:8188/rtp/239.3.1.189:8000 -- 0.41 MB/s
BRTV卡酷少儿HD,http://111.199.237.67:8188/rtp/239.3.1.189:8000 -- 0.06 MB/s
BRTV卡酷少儿HD,http://114.243.106.86:8888/rtp/239.3.1.189:8000 -- 0.24 MB/s
BRTV卡酷少儿HD,http://114.244.117.82:8888/rtp/239.3.1.189:8000 -- 0.38 MB/s
BRTV卡酷少儿HD,http://114.252.149.21:8890/rtp/239.3.1.189:8000 -- 0.15 MB/s
BRTV卡酷少儿HD,http://114.252.236.205:8000/rtp/239.3.1.189:8000 -- 0.40 MB/s
BRTV卡酷少儿HD,http://114.252.238.87:8000/rtp/239.3.1.189:8000 -- 0.23 MB/s
BRTV卡酷少儿HD,http://114.253.247.226:4022/rtp/239.3.1.189:8000 -- 0.23 MB/s
BRTV卡酷少儿HD,http://114.253.76.165:58888/rtp/239.3.1.189:8000 -- 0.05 MB/s
BRTV卡酷少儿HD,http://114.254.20.116:18888/rtp/239.3.1.189:8000 -- 0.42 MB/s
BRTV卡酷少儿HD,http://114.254.81.109:2222/rtp/239.3.1.189:8000 -- 0.25 MB/s
BRTV卡酷少儿HD,http://114.254.81.48:2222/rtp/239.3.1.189:8000 -- 0.25 MB/s
BRTV卡酷少儿HD,http://114.254.88.162:2222/rtp/239.3.1.189:8000 -- 0.23 MB/s
BRTV卡酷少儿HD,http://114.254.89.209:2222/rtp/239.3.1.189:8000 -- 0.13 MB/s
BRTV卡酷少儿HD,http://123.113.180.31:8000/rtp/239.3.1.189:8000 -- 0.42 MB/s
BRTV卡酷少儿HD,http://123.113.251.39:8888/rtp/239.3.1.189:8000 -- 0.22 MB/s
BRTV卡酷少儿HD,http://123.114.17.98:4000/rtp/239.3.1.189:8000 -- 0.13 MB/s
BRTV卡酷少儿HD,http://125.34.48.61:8890/rtp/239.3.1.189:8000 -- 0.24 MB/s
BRTV卡酷少儿HD,http://221.219.67.213:5957/rtp/239.3.1.189:8000 -- 0.42 MB/s
BRTV卡酷少儿HD,http://221.221.219.139:31415/rtp/239.3.1.189:8000 -- 0.49 MB/s
BRTV卡酷少儿HD,http://221.223.17.137:8888/rtp/239.3.1.189:8000 -- 0.17 MB/s
BRTV卡酷少儿HD,http://221.223.17.24:58888/rtp/239.3.1.189:8000 -- 0.43 MB/s
BRTV卡酷少儿HD,http://221.223.19.203:58888/rtp/239.3.1.189:8000 -- 0.38 MB/s
BRTV卡酷少儿HD,http://221.223.20.56:8888/rtp/239.3.1.189:8000 -- 0.06 MB/s
BRTV卡酷少儿HD,http://221.223.42.10:31027/rtp/239.3.1.189:8000 -- 0.36 MB/s
BRTV卡酷少儿HD,http://221.223.43.25:31027/rtp/239.3.1.189:8000 -- 0.38 MB/s
BRTV卡酷少儿HD,http://222.128.169.213:8888/rtp/239.3.1.189:8000 -- 0.20 MB/s
BRTV卡酷少儿HD,http://222.129.137.223:8888/rtp/239.3.1.189:8000 -- 0.33 MB/s
BRTV卡酷少儿HD,http://222.129.141.10:8888/rtp/239.3.1.189:8000 -- 0.43 MB/s
BRTV卡酷少儿HD,http://223.72.25.197:31027/rtp/239.3.1.189:8000 -- 0.45 MB/s
BRTV影视HD,http://111.193.225.151:8888/rtp/239.3.1.158:8000 -- 0.20 MB/s
BRTV影视HD,http://111.194.150.28:8888/rtp/239.3.1.158:8000 -- 0.30 MB/s
BRTV影视HD,http://111.196.130.76:8012/rtp/239.3.1.158:8000 -- 0.39 MB/s
BRTV影视HD,http://111.196.189.12:5555/rtp/239.3.1.158:8000 -- 0.21 MB/s
BRTV影视HD,http://111.199.232.176:8188/rtp/239.3.1.158:8000 -- 0.22 MB/s
BRTV影视HD,http://111.199.237.67:8188/rtp/239.3.1.158:8000 -- 0.12 MB/s
BRTV影视HD,http://114.243.106.86:8888/rtp/239.3.1.158:8000 -- 0.41 MB/s
BRTV影视HD,http://114.244.117.82:8888/rtp/239.3.1.158:8000 -- 0.30 MB/s
BRTV影视HD,http://114.252.149.21:8890/rtp/239.3.1.158:8000 -- 0.36 MB/s
BRTV影视HD,http://114.252.236.205:8000/rtp/239.3.1.158:8000 -- 0.16 MB/s
BRTV影视HD,http://114.252.238.87:8000/rtp/239.3.1.158:8000 -- 0.03 MB/s
BRTV影视HD,http://114.253.247.226:4022/rtp/239.3.1.158:8000 -- 0.00 MB/s
BRTV影视HD,http://114.253.76.165:58888/rtp/239.3.1.158:8000 -- 0.22 MB/s
BRTV影视HD,http://114.254.20.116:18888/rtp/239.3.1.158:8000 -- 0.42 MB/s
BRTV影视HD,http://114.254.81.109:2222/rtp/239.3.1.158:8000 -- 0.25 MB/s
BRTV影视HD,http://114.254.81.48:2222/rtp/239.3.1.158:8000 -- 0.12 MB/s
BRTV影视HD,http://114.254.88.162:2222/rtp/239.3.1.158:8000 -- 0.22 MB/s
BRTV影视HD,http://114.254.89.209:2222/rtp/239.3.1.158:8000 -- 0.24 MB/s
BRTV影视HD,http://123.113.180.31:8000/rtp/239.3.1.158:8000 -- 0.24 MB/s
BRTV影视HD,http://123.113.251.39:8888/rtp/239.3.1.158:8000 -- 0.42 MB/s
BRTV影视HD,http://123.114.17.98:4000/rtp/239.3.1.158:8000 -- 0.21 MB/s
BRTV影视HD,http://124.64.235.39:8012/rtp/239.3.1.158:8000 -- 0.47 MB/s
BRTV影视HD,http://125.34.48.61:8890/rtp/239.3.1.158:8000 -- 0.24 MB/s
BRTV影视HD,http://221.219.67.213:5957/rtp/239.3.1.158:8000 -- 0.08 MB/s
BRTV影视HD,http://221.221.219.139:31415/rtp/239.3.1.158:8000 -- 0.50 MB/s
BRTV影视HD,http://221.223.17.137:8888/rtp/239.3.1.158:8000 -- 0.19 MB/s
BRTV影视HD,http://221.223.17.24:58888/rtp/239.3.1.158:8000 -- 0.25 MB/s
BRTV影视HD,http://221.223.19.203:58888/rtp/239.3.1.158:8000 -- 0.43 MB/s
BRTV影视HD,http://221.223.20.56:8888/rtp/239.3.1.158:8000 -- 0.11 MB/s
BRTV影视HD,http://221.223.42.10:31027/rtp/239.3.1.158:8000 -- 0.38 MB/s
BRTV影视HD,http://221.223.43.25:31027/rtp/239.3.1.158:8000 -- 0.21 MB/s
BRTV影视HD,http://222.128.169.213:8888/rtp/239.3.1.158:8000 -- 0.21 MB/s
BRTV影视HD,http://222.129.137.223:8888/rtp/239.3.1.158:8000 -- 0.25 MB/s
BRTV影视HD,http://222.129.141.10:8888/rtp/239.3.1.158:8000 -- 0.43 MB/s
BRTV影视HD,http://223.72.25.197:31027/rtp/239.3.1.158:8000 -- 0.13 MB/s
BRTV文艺HD,http://111.193.225.151:8888/rtp/239.3.1.242:8000 -- 0.11 MB/s
BRTV文艺HD,http://111.194.150.28:8888/rtp/239.3.1.242:8000 -- 0.30 MB/s
BRTV文艺HD,http://111.196.130.76:8012/rtp/239.3.1.242:8000 -- 0.16 MB/s
BRTV文艺HD,http://111.196.189.12:5555/rtp/239.3.1.242:8000 -- 0.24 MB/s
BRTV文艺HD,http://111.199.232.176:8188/rtp/239.3.1.242:8000 -- 0.28 MB/s
BRTV文艺HD,http://111.199.237.67:8188/rtp/239.3.1.242:8000 -- 0.24 MB/s
BRTV文艺HD,http://114.243.106.86:8888/rtp/239.3.1.242:8000 -- 0.42 MB/s
BRTV文艺HD,http://114.244.117.82:8888/rtp/239.3.1.242:8000 -- 0.43 MB/s
BRTV文艺HD,http://114.252.149.21:8890/rtp/239.3.1.242:8000 -- 0.23 MB/s
BRTV文艺HD,http://114.252.236.205:8000/rtp/239.3.1.242:8000 -- 0.43 MB/s
BRTV文艺HD,http://114.252.238.87:8000/rtp/239.3.1.242:8000 -- 0.02 MB/s
BRTV文艺HD,http://114.253.76.165:58888/rtp/239.3.1.242:8000 -- 0.21 MB/s
BRTV文艺HD,http://114.254.20.116:18888/rtp/239.3.1.242:8000 -- 0.42 MB/s
BRTV文艺HD,http://114.254.81.109:2222/rtp/239.3.1.242:8000 -- 0.15 MB/s
BRTV文艺HD,http://114.254.81.48:2222/rtp/239.3.1.242:8000 -- 0.24 MB/s
BRTV文艺HD,http://114.254.88.162:2222/rtp/239.3.1.242:8000 -- 0.22 MB/s
BRTV文艺HD,http://114.254.89.209:2222/rtp/239.3.1.242:8000 -- 0.25 MB/s
BRTV文艺HD,http://123.113.180.31:8000/rtp/239.3.1.242:8000 -- 0.03 MB/s
BRTV文艺HD,http://123.113.251.39:8888/rtp/239.3.1.242:8000 -- 0.25 MB/s
BRTV文艺HD,http://124.64.235.39:8012/rtp/239.3.1.242:8000 -- 0.46 MB/s
BRTV文艺HD,http://125.34.48.61:8890/rtp/239.3.1.242:8000 -- 0.11 MB/s
BRTV文艺HD,http://221.219.67.213:5957/rtp/239.3.1.242:8000 -- 0.38 MB/s
BRTV文艺HD,http://221.221.219.139:31415/rtp/239.3.1.242:8000 -- 0.49 MB/s
BRTV文艺HD,http://221.223.17.137:8888/rtp/239.3.1.242:8000 -- 0.00 MB/s
BRTV文艺HD,http://221.223.17.24:58888/rtp/239.3.1.242:8000 -- 0.43 MB/s
BRTV文艺HD,http://221.223.19.203:58888/rtp/239.3.1.242:8000 -- 0.30 MB/s
BRTV文艺HD,http://221.223.20.56:8888/rtp/239.3.1.242:8000 -- 0.24 MB/s
BRTV文艺HD,http://221.223.42.10:31027/rtp/239.3.1.242:8000 -- 0.41 MB/s
BRTV文艺HD,http://221.223.43.25:31027/rtp/239.3.1.242:8000 -- 0.36 MB/s
BRTV文艺HD,http://222.128.169.213:8888/rtp/239.3.1.242:8000 -- 0.22 MB/s
BRTV文艺HD,http://222.129.137.223:8888/rtp/239.3.1.242:8000 -- 0.24 MB/s
BRTV文艺HD,http://222.129.141.10:8888/rtp/239.3.1.242:8000 -- 0.41 MB/s
BRTV文艺HD,http://223.72.25.197:31027/rtp/239.3.1.242:8000 -- 0.25 MB/s
BRTV新闻HD,http://111.193.225.151:8888/rtp/239.3.1.159:8000 -- 0.08 MB/s
BRTV新闻HD,http://111.194.150.28:8888/rtp/239.3.1.159:8000 -- 0.30 MB/s
BRTV新闻HD,http://111.196.130.76:8012/rtp/239.3.1.159:8000 -- 0.10 MB/s
BRTV新闻HD,http://111.196.189.12:5555/rtp/239.3.1.159:8000 -- 0.11 MB/s
BRTV新闻HD,http://111.199.232.176:8188/rtp/239.3.1.159:8000 -- 0.41 MB/s
BRTV新闻HD,http://111.199.237.67:8188/rtp/239.3.1.159:8000 -- 0.10 MB/s
BRTV新闻HD,http://114.243.106.86:8888/rtp/239.3.1.159:8000 -- 0.42 MB/s
BRTV新闻HD,http://114.244.117.82:8888/rtp/239.3.1.159:8000 -- 0.16 MB/s
BRTV新闻HD,http://114.252.149.21:8890/rtp/239.3.1.159:8000 -- 0.00 MB/s
BRTV新闻HD,http://114.252.236.205:8000/rtp/239.3.1.159:8000 -- 0.43 MB/s
BRTV新闻HD,http://114.252.238.87:8000/rtp/239.3.1.159:8000 -- 0.08 MB/s
BRTV新闻HD,http://114.253.247.226:4022/rtp/239.3.1.159:8000 -- 0.37 MB/s
BRTV新闻HD,http://114.253.76.165:58888/rtp/239.3.1.159:8000 -- 0.39 MB/s
BRTV新闻HD,http://114.254.20.116:18888/rtp/239.3.1.159:8000 -- 0.41 MB/s
BRTV新闻HD,http://114.254.81.109:2222/rtp/239.3.1.159:8000 -- 0.14 MB/s
BRTV新闻HD,http://114.254.81.48:2222/rtp/239.3.1.159:8000 -- 0.12 MB/s
BRTV新闻HD,http://114.254.88.162:2222/rtp/239.3.1.159:8000 -- 0.43 MB/s
BRTV新闻HD,http://114.254.89.209:2222/rtp/239.3.1.159:8000 -- 0.13 MB/s
BRTV新闻HD,http://123.113.180.31:8000/rtp/239.3.1.159:8000 -- 0.38 MB/s
BRTV新闻HD,http://123.113.251.39:8888/rtp/239.3.1.159:8000 -- 0.39 MB/s
BRTV新闻HD,http://123.114.17.98:4000/rtp/239.3.1.159:8000 -- 0.14 MB/s
BRTV新闻HD,http://124.64.235.39:8012/rtp/239.3.1.159:8000 -- 0.17 MB/s
BRTV新闻HD,http://125.34.48.61:8890/rtp/239.3.1.159:8000 -- 0.41 MB/s
BRTV新闻HD,http://221.219.67.213:5957/rtp/239.3.1.159:8000 -- 0.11 MB/s
BRTV新闻HD,http://221.221.219.139:31415/rtp/239.3.1.159:8000 -- 0.50 MB/s
BRTV新闻HD,http://221.223.17.137:8888/rtp/239.3.1.159:8000 -- 0.16 MB/s
BRTV新闻HD,http://221.223.17.24:58888/rtp/239.3.1.159:8000 -- 0.43 MB/s
BRTV新闻HD,http://221.223.19.203:58888/rtp/239.3.1.159:8000 -- 0.26 MB/s
BRTV新闻HD,http://221.223.20.56:8888/rtp/239.3.1.159:8000 -- 0.25 MB/s
BRTV新闻HD,http://221.223.42.10:31027/rtp/239.3.1.159:8000 -- 0.38 MB/s
BRTV新闻HD,http://221.223.43.25:31027/rtp/239.3.1.159:8000 -- 0.19 MB/s
BRTV新闻HD,http://222.128.169.213:8888/rtp/239.3.1.159:8000 -- 0.29 MB/s
BRTV新闻HD,http://222.129.137.223:8888/rtp/239.3.1.159:8000 -- 0.34 MB/s
BRTV新闻HD,http://222.129.141.10:8888/rtp/239.3.1.159:8000 -- 0.43 MB/s
BRTV新闻HD,http://223.72.25.197:31027/rtp/239.3.1.159:8000 -- 0.46 MB/s
BRTV生活HD,http://111.193.225.151:8888/rtp/239.3.1.117:8000 -- 0.23 MB/s
BRTV生活HD,http://111.194.150.28:8888/rtp/239.3.1.117:8000 -- 0.31 MB/s
BRTV生活HD,http://111.196.130.76:8012/rtp/239.3.1.117:8000 -- 0.16 MB/s
BRTV生活HD,http://111.196.189.12:5555/rtp/239.3.1.117:8000 -- 0.00 MB/s
BRTV生活HD,http://111.199.232.176:8188/rtp/239.3.1.117:8000 -- 0.18 MB/s
BRTV生活HD,http://111.199.237.67:8188/rtp/239.3.1.117:8000 -- 0.36 MB/s
BRTV生活HD,http://114.243.106.86:8888/rtp/239.3.1.117:8000 -- 0.42 MB/s
BRTV生活HD,http://114.244.117.82:8888/rtp/239.3.1.117:8000 -- 0.38 MB/s
BRTV生活HD,http://114.252.149.21:8890/rtp/239.3.1.117:8000 -- 0.36 MB/s
BRTV生活HD,http://114.252.236.205:8000/rtp/239.3.1.117:8000 -- 0.42 MB/s
BRTV生活HD,http://114.252.238.87:8000/rtp/239.3.1.117:8000 -- 0.09 MB/s
BRTV生活HD,http://114.253.247.226:4022/rtp/239.3.1.117:8000 -- 0.05 MB/s
BRTV生活HD,http://114.253.76.165:58888/rtp/239.3.1.117:8000 -- 0.31 MB/s
BRTV生活HD,http://114.254.20.116:18888/rtp/239.3.1.117:8000 -- 0.32 MB/s
BRTV生活HD,http://114.254.81.109:2222/rtp/239.3.1.117:8000 -- 0.09 MB/s
BRTV生活HD,http://114.254.81.48:2222/rtp/239.3.1.117:8000 -- 0.00 MB/s
BRTV生活HD,http://114.254.88.162:2222/rtp/239.3.1.117:8000 -- 0.05 MB/s
BRTV生活HD,http://114.254.89.209:2222/rtp/239.3.1.117:8000 -- 0.25 MB/s
BRTV生活HD,http://123.113.180.31:8000/rtp/239.3.1.117:8000 -- 0.42 MB/s
BRTV生活HD,http://123.113.251.39:8888/rtp/239.3.1.117:8000 -- 0.29 MB/s
BRTV生活HD,http://123.114.17.98:4000/rtp/239.3.1.117:8000 -- 0.18 MB/s
BRTV生活HD,http://124.64.235.39:8012/rtp/239.3.1.117:8000 -- 0.07 MB/s
BRTV生活HD,http://125.34.48.61:8890/rtp/239.3.1.117:8000 -- 0.41 MB/s
BRTV生活HD,http://221.219.67.213:5957/rtp/239.3.1.117:8000 -- 0.00 MB/s
BRTV生活HD,http://221.221.219.139:31415/rtp/239.3.1.117:8000 -- 0.49 MB/s
BRTV生活HD,http://221.223.17.137:8888/rtp/239.3.1.117:8000 -- 0.13 MB/s
BRTV生活HD,http://221.223.17.24:58888/rtp/239.3.1.117:8000 -- 0.04 MB/s
BRTV生活HD,http://221.223.19.203:58888/rtp/239.3.1.117:8000 -- 0.38 MB/s
BRTV生活HD,http://221.223.20.56:8888/rtp/239.3.1.117:8000 -- 0.13 MB/s
